repeat_index,angle_deg,rf_prediction,rf_confidence,svm_prediction,svm_confidence,combined_prediction
1.0,0.0,plastic,0.94141050161183,plastic,0.9070092746511254,plastic
2.0,0.0,plastic,0.8493523349613521,plastic,0.7772093381677846,plastic
3.0,0.0,plastic,0.9944164619164619,plastic,0.9172680881155457,plastic
4.0,0.0,plastic,0.9732047472659188,plastic,0.9390854441243114,plastic
5.0,0.0,plastic,0.9945397727272728,plastic,0.959446058253578,plastic
6.0,0.0,plastic,0.9878835239089706,plastic,0.9273863076531644,plastic
7.0,0.0,plastic,0.9868166158262358,plastic,0.9175862459385226,plastic
8.0,0.0,plastic,0.9839341098655675,plastic,0.9237946139583707,plastic
9.0,0.0,plastic,0.9521308261296383,plastic,0.915946262614803,plastic
10.0,0.0,plastic,0.9865965909090909,plastic,0.9379448913858784,plastic
11.0,0.0,plastic,0.9913887784906291,plastic,0.9409916909601691,plastic
12.0,0.0,plastic,0.9846374419944909,plastic,0.9254514757732917,plastic
13.0,0.0,plastic,0.9438868866782427,plastic,0.9128223854898051,plastic
14.0,0.0,plastic,0.9845363772467443,plastic,0.9193588320463763,plastic
15.0,0.0,plastic,0.9609311631310508,plastic,0.9102310880548479,plastic
16.0,0.0,plastic,0.9878657701435897,plastic,0.9412631975794687,plastic
17.0,0.0,plastic,0.9788747321936795,plastic,0.9175157358266226,plastic
18.0,0.0,plastic,0.9914632386583605,plastic,0.9359214779815567,plastic
19.0,0.0,plastic,0.9598637349873704,plastic,0.9126387910482581,plastic
20.0,0.0,plastic,0.9534827406230623,plastic,0.9327774804109285,plastic
