grp,session,path,class_label,material,object_id,distance_cm,physical_yaw_deg,tx_mode,gate_start_us,gate_end_us,burst_cycles_requested,sample_rate_requested_hz,sample_count_requested,pretrigger_requested_us,firmware,created_local,n_raw_files,manifest,n_cap,n_angles,ang_min,ang_max,ang_step_med,ang_step_uniform,rep_min,rep_max,rep_med,crc_ok_frac,n_crc_fail,clip_lo,clip_hi,adc_min_min,adc_max_max,n_sat_lo,n_sat_hi,base_std_med,pk_med,rms_med,cf_med,gz_med,pkt_med,p2p_med,en_med,base_std_iqr,snr_db_med,snr_db_p10,snr_db_p90,pkt_cv_med,pkt_cv_max,pkt_sd_med_us,pk_ang_min,pk_ang_max,pk_ang_contrast_db,pk_cv_med,gate_start_m,gate_end_m,frac_pin_start,frac_pin_end,txref_us,dist_impl_med_cm,dist_err_cm,dist_sd_cm,sample_rate_hz,sample_count,burst_cycles_m,tx_mode_m,n_missing_raw,modal_cm,frac_in10,frac_2ndecho,frac_early,pk_ang_deg,pk_amp,bw3db_deg,sym_deg,amp_drift_pct,base_drift_pct,rng_spread_cm,rng_iqr_cm,n_ang_ampzero,amp_med,drift_corr_pct,score
B,20260826_123503_wall_reflector_wall,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_123503_wall_reflector_wall,wall_reflector,wall,wall_01,100.0,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T12:35:03,620,True,620,31.0,-15.0,15.0,1.0,True,20.0,20.0,20.0,1.0,0.0,0.0,0.0,1367.0,2544.0,0.0,0.0,13.058116875150564,556.390873015873,92.30470040591456,5.876549162528261,6.955645366456638,6524.0,1020.0,35784668.77910052,0.3477828804817946,32.52066407420355,29.73561926942461,33.74248475760229,0.8845765864199783,31.634543952011786,56.59979542458839,363.3869047619048,659.8849206349206,5.18197862891884,4.071263889447151,1200.0,18000.0,0.0,0.0,1008.0,94.5994,-5.400599999999997,0.9706864915316908,250000.0,5000.0,24.0,FULL8,0.0,92.5,0.7032258064516129,0.2967741935483871,0.0,8.0,659.8849206349206,,,5.458354195893538,-2.555750175487731,104.75219999999996,99.813,0.0,561.9742063492064,0.3741386742516605,76.10887946392641
A,20260829_221253_glass_reflector_glass_50cm,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260829_221253_glass_reflector_glass_50cm,glass_reflector,glass,glass,50.0,0.0,FULL8,1200.0,12000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-29T22:12:53,310,True,310,31.0,-15.0,15.0,1.0,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1101.0,2223.0,0.0,0.0,21.37740713552399,165.4940476190476,32.40480809986828,5.038376359629604,2.237748428870357,3632.0,323.5,2835194.664115646,0.4266354015029066,17.819260952882363,12.644640885426218,19.597964130175868,1.507805367680967,29.90336918201982,54.087994149451646,55.88095238095241,217.22023809523807,11.792729723791084,3.76296243677897,1200.0,12000.0,0.0,0.0,1008.0,45.0016,-4.998399999999997,0.9276090996630956,250000.0,5000.0,24.0,FULL8,0.0,42.5,0.9935483870967742,0.0064516129032258,0.0,5.0,217.22023809523807,4.153769353863712,0.2316112637533134,41.48765983861824,0.1817917619606028,2.915500000000001,0.943250000000006,0.0,166.5138888888889,-0.7982609252536721,74.80735295168756
B,20260826_122335_wall_reflector_wall_01,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_122335_wall_reflector_wall_01,wall_reflector,wall,wall_01,100.0,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T12:23:35,10,True,10,1.0,0.0,0.0,,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1375.0,2464.0,0.0,0.0,13.411242687974935,559.7956349206349,87.4531294775714,6.425324832169922,11.480468335546204,6492.0,1021.0,32128577.736772485,1.5377154056658764,32.7378725784209,31.812974591421813,36.16711648747997,0.8342020949292113,0.8342020949292113,53.96953873354025,559.7956349206349,559.7956349206349,0.0,5.692883237159625,1200.0,18000.0,0.0,0.0,1008.0,94.0506,-5.949399999999997,0.9255775892802152,250000.0,5000.0,24.0,FULL8,0.0,92.5,1.0,0.0,0.0,0.0,559.7956349206349,,,3.241829324051748,-29.79300775712844,0.0,0.0,0.0,559.7956349206349,3.2418293240517713,68.68262190001563
A,20260826_190743_wall_reflector_metal_reflector_70cm,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260826_190743_wall_reflector_metal_reflector_70cm,wall_reflector,previous_cardboard,metal_reflector_70cm,70.0,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T19:07:43,610,True,610,61.0,-30.0,30.0,1.0,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1365.0,2653.0,0.0,0.0,13.306695794756768,650.8690476190476,123.38909220228376,5.411492146558667,11.017667672956533,5640.0,1126.0,63944446.17989418,0.3410672213315369,33.78363946933161,32.40828573424965,35.1745089372113,1.1789699235802646,10.3657664264829,61.02677008220812,447.33928571428567,781.6845238095239,4.847889474032103,1.945697083116891,1200.0,18000.0,0.0,0.0,1008.0,79.4388,9.4388,1.046609106909869,250000.0,5000.0,24.0,FULL8,0.0,82.5,0.6622950819672131,0.0,0.0,6.0,781.6845238095239,21.31789028044514,17.96767202793159,-8.14507657365359,-3.0547520423556134,20.6486,15.263500000000008,0.0,647.6904761904761,-0.12172850675624045,68.40511574174225
B,20260826_123915_wall_reflector_wall_01,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_123915_wall_reflector_wall_01,wall_reflector,wall,wall_01,100.0,0.0,FULL8,1.0,20000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T12:39:15,122,True,122,61.0,-15.0,15.0,0.5,True,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1371.0,2514.0,0.0,0.0,12.945101037466234,558.1488095238095,85.3778360333616,6.164154361451786,4.716764149041599,6482.0,1021.5,34610074.36907911,0.174250090613782,32.687712775879554,29.74045683624644,33.58896317086887,0.4826667448372338,45.00877788947964,48.08326112068523,332.5734126984128,650.3531746031746,5.825234751315556,1.7548084647723248,1.0,20000.0,0.0,0.0,1008.0,93.8791,-6.120900000000006,0.8246279282197516,250000.0,5000.0,24.0,FULL8,0.0,92.5,0.680327868852459,0.319672131147541,0.0,8.5,650.3531746031746,,,4.037290621118214,0.4571388027549568,106.12419999999996,100.80770000000004,0.0,557.8154761904763,0.00754783143473138,67.34501296393844
B,20260826_122340_wall_reflector_wall_01,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_122340_wall_reflector_wall_01,wall_reflector,wall,wall_01,100.0,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T12:23:40,70,True,70,7.0,-15.0,15.0,5.0,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1371.0,2573.0,0.0,0.0,13.291599874746431,595.9285714285714,98.95892956434946,6.237668383211532,7.273797077884028,6536.0,1067.5,41130053.13624339,0.20650083530988,33.08202612761775,29.10549434092308,33.858873528368,1.2577141540404129,30.71256610666229,81.5854017442935,368.4186507936507,666.4861111111112,5.148989916480965,3.576235950628495,1200.0,18000.0,0.0,0.0,1008.0,94.8052,-5.194800000000001,1.3991896399146335,250000.0,5000.0,24.0,FULL8,0.0,92.5,0.7714285714285715,0.2285714285714285,0.0,-15.0,666.4861111111112,,,-20.178822746700373,-1.9617637027469657,101.9739,52.513300000000015,0.0,595.5357142857142,-0.3042705261796813,66.95008268107883
A,20260826_185229_metal_reflector_cardboard,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260826_185229_metal_reflector_cardboard,metal_reflector,metal,cardboard,79.5,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T18:52:29,610,True,610,61.0,-30.0,30.0,1.0,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1533.0,2196.0,0.0,0.0,13.143369328512978,92.15476190476194,16.91709135147029,5.402995720220246,0.9064673565550962,5240.0,180.0,1201989.5767195765,0.2257063163557031,16.918921009212376,12.295390650386906,20.645580740081137,1.078816087132974,35.11592152269869,56.28498911788116,43.154761904761926,161.6428571428571,11.470555868627187,3.715767814198033,1200.0,18000.0,0.0,0.0,1008.0,72.5788,-6.921199999999999,0.965287563371662,250000.0,5000.0,24.0,FULL8,0.0,72.5,0.939344262295082,0.0573770491803278,0.0,8.0,161.6428571428571,3.4040915114579136,0.0897594523797842,-16.554018573417363,-0.7324812327068919,80.9137,1.7150000000000176,0.0,93.77777777777784,-0.3656455965179597,66.71328029217875
B,20260826_124111_wall_reflector_wall_01,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_124111_wall_reflector_wall_01,wall_reflector,wall,wall_01,100.0,0.0,FULL8,1.0,20000.0,32,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T12:41:11,62,True,62,31.0,-15.0,15.0,1.0,True,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1370.0,2524.0,0.0,0.0,12.96900034201168,578.718253968254,99.32923665006632,5.6070971356136425,6.90736781574484,6692.0,1055.0,46846715.78801336,0.1574014804362438,32.97534830875779,30.583008319507066,34.038059997380834,0.5208472687683137,43.17757844133665,48.08326112068523,382.69246031746025,665.7956349206349,4.809820750700585,1.1172831291897545,1.0,20000.0,0.0,0.0,1008.0,97.4806,-2.5193999999999903,0.8246279282197516,250000.0,5000.0,32.0,FULL8,0.0,97.5,0.6612903225806451,0.3387096774193548,0.0,-10.0,665.7956349206349,,,-2.1546981617958068,0.4003695201119909,108.45659999999997,102.95145,0.0,580.6269841269841,-0.007856742982160124,65.02946405216215
A,20260826_184342_metal_reflector_can72,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260826_184342_metal_reflector_can72,metal_reflector,metal,can72,100.0,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T18:43:42,610,True,610,61.0,-30.0,30.0,1.0,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1519.0,2193.0,0.0,0.0,13.141517543295343,70.72817460317458,15.242212648698011,4.67115047225261,0.8870838857020216,6484.0,137.5,975765.2129629628,0.2759737517408123,14.644925860238413,10.736164920819862,19.091822111077345,0.8802148159536267,53.29465989033381,55.73907466440792,42.42063492063494,137.19047619047615,10.19493598238519,4.1110239557288,1200.0,18000.0,0.0,0.0,1008.0,93.9134,-6.086600000000004,0.9559251304945958,250000.0,5000.0,24.0,FULL8,0.0,92.5,0.8147540983606557,0.001639344262295,0.0032786885245901,9.0,137.19047619047615,3.1472171360913794,0.0442484089928907,-13.123907437265297,-0.8156573429528363,26.6854,1.406300000000016,0.0,69.5019841269841,0.28393508540607953,58.74196352027971
A,20260826_184601_metal_reflector_can72-14m8,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260826_184601_metal_reflector_can72-14m8,metal_reflector,metal,can72-14_8,100.0,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T18:46:01,610,True,610,61.0,-30.0,30.0,1.0,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1509.0,2197.0,0.0,0.0,13.06108099151351,65.7539682539682,15.43576019468148,4.367264038215071,0.7903185631345361,6480.0,128.0,1000703.3822751328,0.2093993747507738,14.038338803753447,10.63492255989173,17.55593271781649,0.9697921267401814,40.83343281026874,62.38090876043543,40.10912698412699,117.4880952380953,9.335013073742424,4.2256854963016375,1200.0,18000.0,0.0,0.0,1008.0,93.8448,-6.155200000000008,1.0698325852414674,250000.0,5000.0,24.0,FULL8,0.0,92.5,0.8327868852459016,0.0262295081967213,0.001639344262295,-21.0,117.4880952380953,3.645562015707728,0.3454839333426029,-17.393161639324525,-0.05144459656476,121.5592,1.8178999999999943,0.0,62.9880952380953,-0.6436474202192443,58.68677106794672
A,20260826_191642_wall_reflector_can_reflector_70cm,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260826_191642_wall_reflector_can_reflector_70cm,wall_reflector,can,can_reflector_70cm,70.0,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T19:16:42,610,True,610,61.0,-30.0,30.0,1.0,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1513.0,2226.0,0.0,0.0,13.245312179113078,60.35119047619048,15.05402237277421,4.062424773338785,0.5866860558846221,6444.0,118.0,951819.1164021164,0.382163313747446,13.178788924274368,11.002304905788426,17.3621582941124,1.2107257953681232,36.65359387929276,76.89646719236629,33.507936507936506,111.85714285714288,10.47032076379224,5.000852416609546,1200.0,18000.0,0.0,0.0,1008.0,93.2274,23.22739999999999,1.318774412349082,250000.0,5000.0,24.0,FULL8,0.0,92.5,0.7622950819672131,0.0311475409836065,0.001639344262295,-21.0,111.85714285714288,3.458491066537864,0.447279030766385,7.667651513247618,-3.368558423214412,128.65929999999997,2.6067999999999785,0.0,59.90873015873012,0.6009753592139231,53.13106019875631
A,20260826_184837_metal_reflector_can72_14p8,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260826_184837_metal_reflector_can72_14p8,metal_reflector,metal,can72_14_8,100.0,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T18:48:37,610,True,610,61.0,-30.0,30.0,1.0,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1535.0,2207.0,0.0,0.0,13.05964468575715,52.27380952380963,14.464483247590358,3.578713451808359,0.5251574196900369,6424.0,100.0,878729.3624338622,0.2157928826098611,12.0382510350769,9.920386491107182,13.88951670453035,4.707631940478064,58.83443892686328,300.7368728085511,32.825396825396865,71.41071428571422,6.751067843179942,7.526457605727124,1200.0,18000.0,0.0,0.0032786885245901,1008.0,92.8844,-7.115600000000001,5.157637368666651,250000.0,5000.0,24.0,FULL8,0.0,92.5,0.7983606557377049,0.1196721311475409,0.0065573770491803,-22.0,71.41071428571422,3.2069385265132766,0.7909741287661447,-1.820741618194888,-0.3111787936800628,123.65149999999996,3.532899999999998,0.0,52.72222222222217,1.7415164826159104,46.76276989543826
B,20260826_123814_wall_reflector_wall_01,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_123814_wall_reflector_wall_01,wall_reflector,wall,wall_01,100.0,0.0,FULL8,0.0,25000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T12:38:14,0,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
B,20260826_123905_wall_reflector_wall_01,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_123905_wall_reflector_wall_01,wall_reflector,wall,wall_01,100.0,0.0,FULL8,1.0,20000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T12:39:05,0,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
